Fecha: 2025-05-21
PLANTA;Cactus - Biznaga Elongada
Hora;Temperatura;Humedad;Recomendaciones
0:00;20,1;91,5;Humedad alta en el ambiente, verificar que no haya encharcamiento.
3:00;20,6;90,0;Humedad alta en el ambiente, verificar que no haya encharcamiento.
6:00;23,3;82,0;Humedad media en el ambiente, verificar que la tierra no este seca.
9:00;23,1;82,6;Humedad media en el ambiente, verificar que la tierra no este seca.
12:00;28,2;67,1;Humedad adecuada para la planta y puede sacarse al sol.
15:00;26,1;73,4;Humedad media en el ambiente, verificar que la tierra no este seca y puede sacarse al sol.
18:00;28,4;66,3;Humedad adecuada para la planta y puede sacarse al sol.
21:00;21,2;88,3;Humedad alta en el ambiente, verificar que no haya encharcamiento.
PLANTA;Anturio - Anthurium andraeanum
Hora;Temperatura;Humedad;Recomendaciones
0:00;20,1;91,5;Humedad adecuada para la planta.
3:00;20,6;90,0;Humedad adecuada para la planta.
6:00;23,3;82,0;Humedad media en el ambiente, verificar que la tierra no este seca.
9:00;23,1;82,6;Humedad media en el ambiente, verificar que la tierra no este seca.
12:00;28,2;67,1;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
15:00;26,1;73,4;Humedad media en el ambiente, verificar que la tierra no este seca y debe alejarse del sol.
18:00;28,4;66,3;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
21:00;21,2;88,3;Humedad adecuada para la planta.
PLANTA;Rosa
Hora;Temperatura;Humedad;Recomendaciones
0:00;20,1;91,5;Humedad adecuada para la planta.
3:00;20,6;90,0;Humedad adecuada para la planta.
6:00;23,3;82,0;Humedad media en el ambiente, verificar que la tierra no este seca.
9:00;23,1;82,6;Humedad media en el ambiente, verificar que la tierra no este seca.
12:00;28,2;67,1;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y puede sacarse al sol.
15:00;26,1;73,4;Humedad media en el ambiente, verificar que la tierra no este seca y puede sacarse al sol.
18:00;28,4;66,3;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y puede sacarse al sol.
21:00;21,2;88,3;Humedad adecuada para la planta.
Fecha: 2025-05-22
PLANTA;Cactus - Biznaga Elongada
Hora;Temperatura;Humedad;Recomendaciones
0:00;20,8;89,5;Humedad alta en el ambiente, verificar que no haya encharcamiento.
3:00;20,8;89,5;Humedad alta en el ambiente, verificar que no haya encharcamiento.
6:00;23,2;82,4;Humedad media en el ambiente, verificar que la tierra no este seca.
9:00;23,8;80,3;Humedad media en el ambiente, verificar que la tierra no este seca.
12:00;29,7;62,5;Humedad adecuada para la planta y puede sacarse al sol.
15:00;28,1;67,2;Humedad adecuada para la planta y puede sacarse al sol.
18:00;25,9;74,0;Humedad media en el ambiente, verificar que la tierra no este seca y puede sacarse al sol.
21:00;21,2;88,3;Humedad alta en el ambiente, verificar que no haya encharcamiento.
PLANTA;Anturio - Anthurium andraeanum
Hora;Temperatura;Humedad;Recomendaciones
0:00;20,8;89,5;Humedad adecuada para la planta.
3:00;20,8;89,5;Humedad adecuada para la planta.
6:00;23,2;82,4;Humedad media en el ambiente, verificar que la tierra no este seca.
9:00;23,8;80,3;Humedad media en el ambiente, verificar que la tierra no este seca.
12:00;29,7;62,5;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
15:00;28,1;67,2;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
18:00;25,9;74,0;Humedad media en el ambiente, verificar que la tierra no este seca y debe alejarse del sol.
21:00;21,2;88,3;Humedad adecuada para la planta.
PLANTA;Rosa
Hora;Temperatura;Humedad;Recomendaciones
0:00;20,8;89,5;Humedad adecuada para la planta.
3:00;20,8;89,5;Humedad adecuada para la planta.
6:00;23,2;82,4;Humedad media en el ambiente, verificar que la tierra no este seca.
9:00;23,8;80,3;Humedad media en el ambiente, verificar que la tierra no este seca.
12:00;29,7;62,5;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y puede sacarse al sol.
15:00;28,1;67,2;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y puede sacarse al sol.
18:00;25,9;74,0;Humedad media en el ambiente, verificar que la tierra no este seca y puede sacarse al sol.
21:00;21,2;88,3;Humedad adecuada para la planta.
Fecha: 2025-05-23
PLANTA;Cactus - Biznaga Elongada
Hora;Temperatura;Humedad;Recomendaciones
0:00;22,7;83,7;Humedad alta en el ambiente, verificar que no haya encharcamiento.
3:00;22,2;85,2;Humedad alta en el ambiente, verificar que no haya encharcamiento.
6:00;22,5;84,4;Humedad alta en el ambiente, verificar que no haya encharcamiento.
9:00;25,2;76,2;Humedad media en el ambiente, verificar que la tierra no este seca y puede sacarse al sol.
12:00;30,2;60,8;Humedad adecuada para la planta y puede sacarse al sol.
15:00;27,6;68,9;Humedad adecuada para la planta y puede sacarse al sol.
18:00;27,0;70,6;Humedad adecuada para la planta y puede sacarse al sol.
21:00;21,9;86,3;Humedad alta en el ambiente, verificar que no haya encharcamiento.
PLANTA;Anturio - Anthurium andraeanum
Hora;Temperatura;Humedad;Recomendaciones
0:00;22,7;83,7;Humedad adecuada para la planta.
3:00;22,2;85,2;Humedad adecuada para la planta.
6:00;22,5;84,4;Humedad adecuada para la planta.
9:00;25,2;76,2;Humedad media en el ambiente, verificar que la tierra no este seca y debe alejarse del sol.
12:00;30,2;60,8;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
15:00;27,6;68,9;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
18:00;27,0;70,6;Humedad baja en el ambiente, si la tierra esta seca se recomienda regarla y debe alejarse del sol.
21:00;21,9;86,3;Humedad adecuada para la planta.
PLANTA;Rosa
Hora;Temperatura;Humedad;Recomendaciones
0:00;22,7;83,7;Humedad adecuada para la planta.
3:00;22,2;85,2;Humedad adecuada para la planta.
